,sec_name,目标仓位,当前仓位,目标价格,持仓成本,目标持仓差,目标成本差
000651,0,1100,0,42.45,0,-1100 ↓,-42.450 ↓
000001,0,3500,0,13.82,0,-3500 ↓,-13.820 ↓
